Id	Description
4.1.99.3	Deoxyribodipyrimidine photo-lyase
4.1.99.5	Aldehyde oxygenase (deformylating)
4.2.-.-	Carbon-oxygen lyases.
4.2.1.-	Hydro-lyases.
4.2.1.1	Carbonate dehydratase
4.2.1.10	3-dehydroquinate dehydratase
4.2.1.104	Cyanase
4.2.1.107	3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase
4.2.1.108	Ectoine synthase
4.2.1.11	Phosphopyruvate hydratase
4.2.1.113	o-succinylbenzoate synthase
4.2.1.115	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
4.2.1.118	3-dehydroshikimate dehydratase
4.2.1.126	N-acetylmuramic acid 6-phosphate etherase
4.2.1.129	Squalene--hopanol cyclase
4.2.1.131	Carotenoid 1,2-hydratase
4.2.1.134	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase
4.2.1.17	Enoyl-CoA hydratase
4.2.1.18	Methylglutaconyl-CoA hydratase
4.2.1.19	Imidazoleglycerol-phosphate dehydratase
4.2.1.2	Fumarate hydratase
4.2.1.20	Tryptophan synthase
4.2.1.22	Cystathionine beta-synthase
4.2.1.24	Porphobilinogen synthase
4.2.1.28	Propanediol dehydratase
4.2.1.3	Aconitate hydratase
4.2.1.33	3-isopropylmalate dehydratase
4.2.1.35	(R)-2-methylmalate dehydratase
4.2.1.40	Glucarate dehydratase
4.2.1.44	Myo-inosose-2 dehydratase
4.2.1.46	dTDP-glucose 4,6-dehydratase
4.2.1.47	GDP-mannose 4,6-dehydratase
4.2.1.49	Urocanate hydratase
4.2.1.51	Prephenate dehydratase
4.2.1.57	Isohexenylglutaconyl-CoA hydratase
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
4.2.1.7	Altronate dehydratase
4.2.1.70	Pseudouridylate synthase
4.2.1.75	Uroporphyrinogen-III synthase
4.2.1.79	2-methylcitrate dehydratase
4.2.1.8	Mannonate dehydratase
4.2.1.80	2-oxopent-4-enoate hydratase
4.2.1.83	4-oxalmesaconate hydratase
4.2.1.84	Nitrile hydratase
4.2.1.9	Dihydroxy-acid dehydratase
4.2.1.91	Arogenate dehydratase
4.2.1.92	Hydroperoxide dehydratase
4.2.1.96	4a-hydroxytetrahydrobiopterin dehydratase
4.2.1.99	2-methylisocitrate dehydratase
4.2.2.-	Acting on polysaccharides.
4.2.2.1	Hyaluronate lyase
4.2.2.2	Pectate lyase
4.2.2.20	Chondroitin-sulfate-ABC endolyase
4.2.2.21	Chondroitin-sulfate-ABC exolyase
4.2.2.3	Mannuronate-specific alginate lyase
4.2.2.6	Oligogalacturonide lyase
4.2.2.9	Pectate disaccharide-lyase
4.2.3.-	Acting on phosphates.
4.2.3.1	Threonine synthase
4.2.3.12	6-pyruvoyltetrahydropterin synthase
4.2.3.22	Germacradienol synthase
4.2.3.3	Methylglyoxal synthase
4.2.3.4	3-dehydroquinate synthase
4.2.3.5	Chorismate synthase
4.2.3.75	(-)-germacrene D synthase
4.2.99.-	Other carbon-oxygen lyases.
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase
4.2.99.20	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
4.2.99.21	Isochorismate lyase
4.3.-.-	Carbon-nitrogen lyases.
4.3.1.-	Ammonia-lyases.
4.3.1.1	Aspartate ammonia-lyase
4.3.1.12	Ornithine cyclodeaminase
4.3.1.17	L-serine ammonia-lyase
4.3.1.18	D-serine ammonia-lyase
4.3.1.19	Threonine ammonia-lyase
4.3.1.2	Methylaspartate ammonia-lyase
4.3.1.3	Histidine ammonia-lyase
4.3.1.4	Formimidoyltetrahydrofolate cyclodeaminase
4.3.1.7	Ethanolamine ammonia-lyase
4.3.2.-	Lyases acting on amides, amidines, etc.
4.3.2.1	Argininosuccinate lyase
4.3.2.2	Adenylosuccinate lyase
4.3.3.-	Amine-lyases.
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase
4.3.99.-	Other carbon-nitrogen lyases.
4.3.99.3	7-carboxy-7-deazaguanine synthase
4.4.-.-	Carbon-sulfur lyases.
4.4.1.-	Carbon-sulfur lyases.
4.4.1.1	Cystathionine gamma-lyase
4.4.1.13	Cysteine-S-conjugate beta-lyase
4.4.1.16	Selenocysteine lyase
4.4.1.17	Holocytochrome-c synthase
4.4.1.19	Phosphosulfolactate synthase
4.4.1.20	Leukotriene-C(4) synthase
4.4.1.21	S-ribosylhomocysteine lyase
4.4.1.22	S-(hydroxymethyl)glutathione synthase
4.4.1.3	Dimethylpropiothetin dethiomethylase
4.4.1.5	Lactoylglutathione lyase
4.4.1.8	Cystathionine beta-lyase
4.5.-.-	Carbon-halide lyases.
4.5.1.-	Carbon-halide lyases.
4.5.1.3	Dichloromethane dehalogenase
4.6.-.-	Phosphorus-oxygen lyases.
4.6.1.-	Phosphorus-oxygen lyases.
4.6.1.1	Adenylate cyclase
4.6.1.12	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
4.6.1.13	Phosphatidylinositol diacylglycerol-lyase
4.6.1.14	Glycosylphosphatidylinositol diacylglycerol-lyase
4.7.-.-	Carbon-phosphorus lyases.
4.7.1.-	Carbon-phosphorus lyases.
4.7.1.1	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase
4.99.-.-	Other lyases.
4.99.1.-	Other lyases.
4.99.1.1	Protoporphyrin ferrochelatase
4.99.1.2	Alkylmercury lyase
4.99.1.3	Sirohydrochlorin cobaltochelatase
4.99.1.4	Sirohydrochlorin ferrochelatase
5.-.-.-	Isomerases.
5.1.-.-	Racemases and epimerases.
5.1.1.-	Acting on amino acids and derivatives.
5.1.1.1	Alanine racemase
5.1.1.13	Aspartate racemase
5.1.1.3	Glutamate racemase
5.1.1.4	Proline racemase
5.1.1.7	Diaminopimelate epimerase
5.1.2.-	Acting on hydroxy acids and derivatives.
5.1.3.-	Acting on carbohydrates and derivatives.
5.1.3.1	Ribulose-phosphate 3-epimerase
5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase
5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
5.1.3.15	Glucose-6-phosphate 1-epimerase
5.1.3.17	Heparosan-N-sulfate-glucuronate 5-epimerase
5.1.3.19	Chondroitin-glucuronate 5-epimerase
5.1.3.2	UDP-glucose 4-epimerase
5.1.3.3	Aldose 1-epimerase
5.1.3.9	N-acylglucosamine-6-phosphate 2-epimerase
5.1.99.-	Acting on other compounds.
5.1.99.1	Methylmalonyl-CoA epimerase
5.2.-.-	Cis-trans-isomerases.
5.2.1.-	Cis-trans isomerases.
5.2.1.1	Maleate isomerase
5.2.1.12	Zeta-carotene isomerase
5.2.1.2	Maleylacetoacetate isomerase
5.2.1.4	Maleylpyruvate isomerase
5.2.1.8	Peptidylprolyl isomerase
5.3.-.-	Intramolecular oxidoreductases.
5.3.1.-	Interconverting aldoses and ketoses.
5.3.1.1	Triose-phosphate isomerase
5.3.1.12	Glucuronate isomerase
5.3.1.13	Arabinose-5-phosphate isomerase
5.3.1.14	L-rhamnose isomerase
5.3.1.16	1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase
5.3.1.22	Hydroxypyruvate isomerase
5.3.1.23	S-methyl-5-thioribose-1-phosphate isomerase
5.3.1.24	Phosphoribosylanthranilate isomerase
5.3.1.25	L-fucose isomerase
5.3.1.28	D-sedoheptulose 7-phosphate isomerase
5.3.1.4	L-arabinose isomerase
5.3.1.5	Xylose isomerase
5.3.1.6	Ribose-5-phosphate isomerase
5.3.1.8	Mannose-6-phosphate isomerase
5.3.1.9	Glucose-6-phosphate isomerase
5.3.2.-	Interconverting keto- and enol-groups.
5.3.2.1	Phenylpyruvate tautomerase
5.3.2.8	4-oxalomesaconate tautomerase
5.3.3.-	Transposing C=C bonds.
5.3.3.1	Steroid Delta-isomerase
5.3.3.10	5-carboxymethyl-2-hydroxymuconate Delta-isomerase
5.3.3.18	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase
5.3.3.2	Isopentenyl-diphosphate Delta-isomerase
5.3.3.4	Muconolactone Delta-isomerase
5.3.3.5	Cholestenol Delta-isomerase
5.3.3.8	Dodecenoyl-CoA isomerase
5.3.4.-	Transposing S-S bonds.
5.3.4.1	Protein disulfide-isomerase
5.3.99.-	Other intramolecular oxidoreductases.
5.3.99.2	Prostaglandin-D synthase
5.3.99.3	Prostaglandin-E synthase
5.3.99.6	Allene-oxide cyclase
5.4.-.-	Intramolecular transferases.
5.4.1.-	Transferring acyl groups.
5.4.1.2	Transferred entry: 5.4.99.61
5.4.2.-	Phosphotransferases (phosphomutases).
5.4.2.1	Transferred entry: 5.4.2.11 and 5.4.2.12
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)
5.4.2.7	Phosphopentomutase
5.4.2.9	Phosphoenolpyruvate mutase
5.4.3.-	Transferring amino groups.
5.4.3.2	Lysine 2,3-aminomutase
5.4.3.3	Beta-lysine 5,6-aminomutase
5.4.3.8	Glutamate-1-semialdehyde 2,1-aminomutase
5.4.4.-	Transferring hydroxy groups.
5.4.4.2	Isochorismate synthase
5.4.99.-	Transferring other groups.
5.4.99.1	Methylaspartate mutase
5.4.99.12	tRNA pseudouridine(38-40) synthase
5.4.99.15	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase
5.4.99.16	Maltose alpha-D-glucosyltransferase
5.4.99.17	Squalene--hopene cyclase
5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase
5.4.99.2	Methylmalonyl-CoA mutase
5.4.99.23	23S rRNA pseudouridine(1911/1915/1917) synthase
5.4.99.25	tRNA pseudouridine(55) synthase
5.4.99.27	tRNA pseudouridine(13) synthase
5.4.99.30	UDP-arabinopyranose mutase
5.4.99.5	Chorismate mutase
5.4.99.9	UDP-galactopyranose mutase
5.5.-.-	Intramolecular lyases.
5.5.1.-	Intramolecular lyases.
5.5.1.19	Lycopene beta-cyclase
5.5.1.4	Inositol-3-phosphate synthase
5.5.1.9	Cycloeucalenol cycloisomerase
5.99.-.-	Other isomerases.
5.99.1.-	Other isomerases.
5.99.1.2	DNA topoisomerase
5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)
6.-.-.-	Ligases.
6.1.-.-	Forming carbon-oxygen bonds.
6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds.
6.1.1.1	Tyrosine--tRNA ligase
6.1.1.10	Methionine--tRNA ligase
6.1.1.11	Serine--tRNA ligase
6.1.1.12	Aspartate--tRNA ligase
6.1.1.13	D-alanine--poly(phosphoribitol) ligase
6.1.1.14	Glycine--tRNA ligase
6.1.1.15	Proline--tRNA ligase
6.1.1.16	Cysteine--tRNA ligase
6.1.1.17	Glutamate--tRNA ligase
6.1.1.19	Arginine--tRNA ligase
6.1.1.2	Tryptophan--tRNA ligase
6.1.1.20	Phenylalanine--tRNA ligase
6.1.1.21	Histidine--tRNA ligase
6.1.1.22	Asparagine--tRNA ligase
6.1.1.26	Pyrrolysine--tRNA(Pyl) ligase
6.1.1.27	O-phosphoserine--tRNA ligase
6.1.1.3	Threonine--tRNA ligase
6.1.1.4	Leucine--tRNA ligase
6.1.1.5	Isoleucine--tRNA ligase
6.1.1.6	Lysine--tRNA ligase
6.1.1.7	Alanine--tRNA ligase
6.1.1.9	Valine--tRNA ligase
6.1.2.-	Acid--alcohol ligases (ester synthases).
6.2.-.-	Forming carbon-sulfur bonds.
6.2.1.-	Acid--thiol ligases.
6.2.1.1	Acetate--CoA ligase
6.2.1.13	Acetate--CoA ligase (ADP-forming)
6.2.1.14	6-carboxyhexanoate--CoA ligase
6.2.1.17	Propionate--CoA ligase
6.2.1.19	Long-chain-fatty-acid--protein ligase
6.2.1.22	[Citrate (pro-3S)-lyase] ligase
6.2.1.3	Long-chain-fatty-acid--CoA ligase
6.2.1.30	Phenylacetate--CoA ligase
6.2.1.5	Succinate--CoA ligase (ADP-forming)
6.3.-.-	Forming carbon-nitrogen bonds.
6.3.1.-	Acid--ammonia (or amine) ligases (amide synthases).
6.3.1.1	Aspartate--ammonia ligase
6.3.1.10	Adenosylcobinamide-phosphate synthase
6.3.1.2	Glutamine synthetase
6.3.1.5	NAD(+) synthase
6.3.1.8	Glutathionylspermidine synthase
6.3.2.-	Acid--amino-acid ligases (peptide synthases).
6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
6.3.2.12	Dihydrofolate synthase
6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
6.3.2.17	Tetrahydrofolate synthase
6.3.2.19	Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45
6.3.2.2	Glutamate--cysteine ligase
6.3.2.3	Glutathione synthase
6.3.2.31	Coenzyme F420-0:L-glutamate ligase
6.3.2.34	Coenzyme F420-1:gamma-L-glutamate ligase
6.3.2.36	4-phosphopantoate--beta-alanine ligase
6.3.2.39	Aerobactin synthase
6.3.2.4	D-alanine--D-alanine ligase
6.3.2.5	Phosphopantothenate--cysteine ligase
6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase
6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
6.3.3.-	Cyclo-ligases.
6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase
6.3.3.2	5-formyltetrahydrofolate cyclo-ligase
6.3.3.3	Dethiobiotin synthase
6.3.4.-	Other carbon--nitrogen ligases.
6.3.4.10	Biotin--[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase
6.3.4.11	Biotin--[methylcrotonoyl-CoA-carboxylase] ligase
6.3.4.13	Phosphoribosylamine--glycine ligase
6.3.4.14	Biotin carboxylase
6.3.4.15	Biotin--[acetyl-CoA-carboxylase] ligase
6.3.4.18	5-(carboxyamino)imidazole ribonucleotide synthase
6.3.4.19	tRNA(Ile)-lysidine synthetase
6.3.4.2	CTP synthase (glutamine hydrolyzing)
6.3.4.20	7-cyano-7-deazaguanine synthase
6.3.4.3	Formate--tetrahydrofolate ligase
6.3.4.4	Adenylosuccinate synthase
6.3.4.5	Argininosuccinate synthase
6.3.4.6	Urea carboxylase
6.3.4.9	Biotin--[methylmalonyl-CoA-carboxytransferase] ligase
6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor.
6.3.5.1	NAD(+) synthase (glutamine-hydrolyzing)
6.3.5.10	Adenosylcobyric acid synthase (glutamine-hydrolyzing)
6.3.5.11	Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)
6.3.5.2	GMP synthase (glutamine-hydrolyzing)
6.3.5.3	Phosphoribosylformylglycinamidine synthase
6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)
6.3.5.6	Asparaginyl-tRNA synthase (glutamine-hydrolyzing)
6.3.5.7	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)
6.3.5.9	Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)
6.4.-.-	Forming carbon-carbon bonds.
6.4.1.-	Forming carbon-carbon bonds.
6.4.1.1	Pyruvate carboxylase
6.4.1.2	Acetyl-CoA carboxylase
6.4.1.4	Methylcrotonoyl-CoA carboxylase
6.4.1.6	Acetone carboxylase
6.4.1.8	Acetophenone carboxylase
6.5.-.-	Forming phosphoric ester bonds.
6.5.1.-	Forming phosphoric ester bonds.
6.5.1.1	DNA ligase (ATP)
6.5.1.2	DNA ligase (NAD(+))
6.5.1.3	RNA ligase (ATP)
6.5.1.4	RNA 3'-terminal-phosphate cyclase (ATP)
6.6.-.-	Forming nitrogen-metal bonds.
6.6.1.-	Forming coordination complexes.
6.6.1.1	Magnesium chelatase
6.6.1.2	Cobaltochelatase
